No,Title,Artist,From,Got,Sorted,location,filename
1,Train Kept A-Rollin',Aerosmith,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Train Kept A-Rollin',Aerosmith - Train Kept A-Rollin'
2,Blood Doll,Anarchy Club,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Anarchy Club - Blood Doll,Anarchy Club - Blood Doll
3,Pleasure (Pleasure),Bang Camaro,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bang Camaro - Pleasure (Pleasure),Bang Camaro - Pleasure (Pleasure)
4,Sabotage,Beastie Boys,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Beastie Boys - Sabotage,Beastie Boys - Sabotage
5,Paranoid,Black Sabbath,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Black Sabbath - Paranoid,Black Sabbath - Paranoid
6,(Don't Fear) The Reaper,Blue Öyster Cult,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Blue Öyster Cult - (Don't Fear) The Reaper,Blue Öyster Cult - (Don't Fear) The Reaper
7,Beetlebum,Blur,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Blur - Beetlebum,Blur - Beetlebum
8,Wanted Dead or Alive,Bon Jovi,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bon Jovi - Wanted Dead or Alive,Bon Jovi - Wanted Dead or Alive
9,Foreplay-Long Time,Boston,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Boston - Foreplay-Long Time,Boston - Foreplay-Long Time
10,Welcome Home,Coheed and Cambria,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Coheed and Cambria - Welcome Home,Coheed and Cambria - Welcome Home
11,Nightmare,Crooked X,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Crooked X - Nightmare,Crooked X - Nightmare
12,Suffragette City,David Bowie,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/David Bowie - Suffragette City,David Bowie - Suffragette City
13,Can't Let Go,Death of the Cool,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Death of the Cool - Can't Let Go,Death of the Cool - Can't Let Go
14,Highway Star,Deep Purple,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Deep Purple - Highway Star,Deep Purple - Highway Star
15,Hier Kommt Alex,Die Toten Hosen,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Die Toten Hosen - Hier Kommt Alex,Die Toten Hosen - Hier Kommt Alex
16,Epic,Faith No More,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Faith No More - Epic,Faith No More - Epic
17,Dead on Arrival,Fall Out Boy,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Fall Out Boy - Dead on Arrival,Fall Out Boy - Dead on Arrival
18,I'm So Sick,Flyleaf,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Flyleaf - I'm So Sick,Flyleaf - I'm So Sick
19,Learn to Fly,Foo Fighters,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Learn to Fly,Foo Fighters - Learn to Fly
20,Brainpower,Freezepop,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Freezepop - Brainpower,Freezepop - Brainpower
21,I Think I'm Paranoid,Garbage,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Garbage - I Think I'm Paranoid,Garbage - I Think I'm Paranoid
22,Countdown to Insanity,H-Blockx,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/H-Blockx - Countdown to Insanity,H-Blockx - Countdown to Insanity
23,Celebrity Skin,Hole,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Hole - Celebrity Skin,Hole - Celebrity Skin
24,I Get By,Honest Bob and the Factory-to-Dealer Incentives,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Honest Bob and the Factory-to-Dealer Incentives - I Get By,Honest Bob and the Factory-to-Dealer Incentives - I Get By
25,Run to the Hills,Iron Maiden,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Iron Maiden - Run to the Hills,Iron Maiden - Run to the Hills
26,Are You Gonna Be My Girl,Jet,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jet - Are You Gonna Be My Girl,Jet - Are You Gonna Be My Girl
27,Perfekte Welle,Juli,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Juli - Perfekte Welle,Juli - Perfekte Welle
28,Detroit Rock City,KISS,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/KISS - Detroit Rock City,KISS - Detroit Rock City
